location_id,Name,long_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,longitude,latitude,p_1880,p_1890,p_1900,p_1910,G_1880,S_1880,G_1890,S_1890,D_1900,S_1900,G_1910,S_1910,prob,places,
1008,Unter-Narrach,14,33,55,46,35,31,14.5653,46.5919,53,55,56,48,0,53,0,55,0,56,0,48,0,Hart (Steinberg-Hart),#DIV/0!
1009,Pirk,14,31,36,46,35,37,14.5267,46.5936,41,36,32,38,0,41,0,36,0,32,0,38,0,Herzogberg,#DIV/0!
1010,Pogerschitzen,14,33,20,46,33,53,14.5556,46.5647,45,39,31,33,0,45,0,39,0,31,0,33,0,Krakaberg,#DIV/0!
1011,Pölzling,14,31,26,46,35,15,14.5239,46.5875,43,42,52,35,0,43,0,42,7,45,2,33,0,Matschenbloch,#DIV/0!
1012,St. Primus,14,33,52,46,34,44,14.5644,46.5789,30,35,38,46,0,30,5,30,5,33,1,45,0,Niederhof,#DIV/0!
1013,Pudab,14,36,18,46,35,1,14.605,46.5836,24,33,28,17,0,24,0,33,0,28,0,17,0,Paierdorf,#DIV/0!
1014,Rückersdorf,14,34,1,46,33,52,14.5669,46.5644,126,122,133,130,0,126,0,122,0,133,0,130,0,Pfaffendorf,#DIV/0!
1015,Saager,14,31,45,46,36,3,14.5292,46.6008,31,36,37,43,0,31,0,36,0,37,0,43,0,Ober-Pichling,#DIV/0!
1016,Seelach,14,34,11,46,36,41,14.5697,46.6114,18,22,20,18,0,18,0,22,0,20,0,18,0,Unter-Pichling,#DIV/0!
1017,Seidendorf,14,32,42,46,37,3,14.545,46.6175,46,55,48,62,0,46,10,45,2,46,20,42,0,Pontnig,#DIV/0!
1018,Stein,14,32,36,46,36,38,14.5433,46.6106,108,105,117,116,2,106,6,99,11,106,21,95,0.0185185185,Raggane,#DIV/0!
1019,Steinerberg left border,14,32,42,46,35,19,14.545,46.5886,41,41,39,45,0,41,0,41,0,39,5,40,0,Raglach (Ragglach),#DIV/0!
1020,Steinerberg right border,14,33,14,46,36,3,14.5539,46.6008,1940,1950,1960,1970,0,42,0,41,0,39,6,40,0,Ober-Rainz,#DIV/0!
1021,Unterkrain,14,31,17,46,34,34,14.5214,46.5761,67,71,56,63,0,67,0,71,0,56,0,63,0,Unter-Rainz,#DIV/0!
1022,St. Veit im Jaunthale,14,32,16,46,34,58,14.5378,46.5828,123,141,132,110,0,123,0,141,1,131,2,108,0,Steinberg-Oberhaus,0.1304347826
1023,Vellach,14,30,55,46,34,14,14.5153,46.5706,112,101,101,94,0,112,0,101,0,101,1,93,0,Steinberg-Unterhaus,0.1304347826
1024,Vesielach,14,33,31,46,34,57,14.5586,46.5825,45,51,41,43,0,45,0,51,0,41,0,43,0,Gönitz,#DIV/0!
1025,Weitendorf,14,32,42,46,36,16,14.545,46.6044,68,84,84,53,0,68,0,84,0,84,0,53,0,Granitzthal-St. Paul 1,0.9411764706
1026,Gemeinde Sittersdorf,,,,,,,,,1583,1598,1514,1530,29,1554,50,1548,96,1418,301,1229,0.0183196462,Granitzthal-St. Paul 2,0.9545454545
1027,Altendorf,14,38,38,46,32,53,14.6439,46.5481,137,149,125,128,0,137,2,147,0,125,11,117,0,Granitzthal-Weissenegg left border,#DIV/0!
1028,Dullach,14,34,27,46,32,47,14.5742,46.5464,26,23,24,22,0,26,0,23,0,24,0,22,0,Granitzthal-Weissenegg right border,#DIV/0!
1029,Goritschach,14,34,14,46,32,49,14.5706,46.5469,131,153,129,150,0,131,0,153,1,128,3,147,0,Deutsch-Grutschen,#DIV/0!
1030,Hart,14,34,57,46,33,33,14.5825,46.5592,10,10,14,9,0,10,0,10,0,14,0,9,0,Windisch-Grutschen,#DIV/0!
1031,Homelischach,14,38,13,46,31,40,14.6369,46.5278,12,16,15,14,0,12,0,16,0,15,1,13,0,Kollnitzgreuth,#DIV/0!
1032,Jerischach,14,33,30,46,32,22,14.5583,46.5394,56,57,46,45,0,56,0,57,0,46,0,45,0,Langegg,#DIV/0!
1033,Kleinzapfen,14,35,6,46,33,6,14.585,46.5517,95,35,123,131,0,95,0,35,9,114,131,0,0,St. Martin,0.0090909091
1034,Kristendorf,14,38,56,46,33,19,14.6489,46.5553,78,72,72,78,0,78,0,72,2,70,0,78,0,Schildberg,#DIV/0!
